model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,42734,0,382,178,43116,nvic,ipr2
gpt-oss-120b,42598,0,449,282,43047,nvic,iabr0
gpt-oss-120b,42677,0,476,342,43153,nvic,ipr11
gpt-oss-120b,42555,0,529,391,43084,nvic,iser0
gpt-oss-120b,42661,0,295,147,42956,nvic,ispr0
gpt-oss-120b,42691,2560,377,239,43068,nvic,ipr12
gpt-oss-120b,42732,0,349,176,43081,nvic,ipr4
gpt-oss-120b,42682,2560,657,505,43339,nvic,ispr1
gpt-oss-120b,42563,0,306,137,42869,nvic,iabr1
gpt-oss-120b,42572,0,452,270,43024,nvic,ipr5
gpt-oss-120b,42436,2560,476,345,42912,nvic,icpr1
gpt-oss-120b,42711,0,680,492,43391,nvic,ipr10
gpt-oss-120b,42764,2560,768,609,43532,nvic,icer0
gpt-oss-120b,42555,2560,426,201,42981,nvic,ipr13
gpt-oss-120b,42665,2560,463,278,43128,nvic,ipr0
gpt-oss-120b,42490,2560,474,367,42964,nvic,iser1
gpt-oss-120b,42753,0,359,236,43112,nvic,ipr6
gpt-oss-120b,42833,2560,545,396,43378,nvic,ipr14
gpt-oss-120b,42763,0,935,760,43698,nvic,icer1
gpt-oss-120b,42545,2560,337,185,42882,nvic,icpr0
gpt-oss-120b,42688,2560,373,191,43061,nvic,ipr7
gpt-oss-120b,42676,2560,309,162,42985,nvic,ipr3
gpt-oss-120b,42658,2560,292,155,42950,nvic,ipr8
gpt-oss-120b,42724,2560,499,315,43223,nvic,ipr1
gpt-oss-120b,42757,2560,293,133,43050,nvic,ipr9
gpt-oss-120b,42760,2560,1840,558,44600,uart4,sr
gpt-oss-120b,42604,2560,920,403,43524,uart4,brr
gpt-oss-120b,42534,2560,2322,712,44856,uart4,cr2
gpt-oss-120b,42558,2560,2946,1189,45504,uart4,cr1
gpt-oss-120b,42575,2560,545,338,43120,uart4,dr
gpt-oss-120b,42618,2560,4987,3368,47605,uart4,cr3
gpt-oss-120b,42686,2560,965,450,43651,tim13,sr
gpt-oss-120b,42522,2560,1813,504,44335,tim13,ccmr1_input
gpt-oss-120b,42616,2560,471,160,43087,tim13,psc
gpt-oss-120b,42637,2560,550,250,43187,tim13,arr
gpt-oss-120b,42444,2560,692,398,43136,tim13,cnt
gpt-oss-120b,42013,2560,3076,1269,45089,tim13,ccmr1_output
gpt-oss-120b,42857,2560,1115,658,43972,tim13,dier
gpt-oss-120b,42683,2560,1440,445,44123,tim13,cr1
gpt-oss-120b,42386,2560,1105,409,43491,tim13,ccer
gpt-oss-120b,42254,2560,644,287,42898,tim13,ccr1
gpt-oss-120b,42624,2560,1505,852,44129,tim13,egr
gpt-oss-120b,42340,2560,3541,858,45881,dbg,cr
gpt-oss-120b,42403,2560,750,297,43153,dbg,idcode
gpt-oss-120b,85009,5120,4209,1443,89218,dma1,ccr3
gpt-oss-120b,42334,2560,765,450,43099,dma1,cpar2
gpt-oss-120b,84783,44544,1882,1133,86665,dma1,cndtr2
gpt-oss-120b,85371,5120,1430,766,86801,dma1,cpar3
gpt-oss-120b,85885,45056,2214,1163,88099,dma1,cndtr3
gpt-oss-120b,42245,2560,2180,354,44425,dma1,ccr1
gpt-oss-120b,85553,5120,1251,607,86804,dma1,cmar1
gpt-oss-120b,85449,5120,1399,618,86848,dma1,cpar1
gpt-oss-120b,85555,5120,2562,648,88117,dma1,cndtr1
gpt-oss-120b,86631,5120,5492,1648,92123,dma1,ccr6
gpt-oss-120b,86804,5120,4428,1084,91232,dma1,ccr7
gpt-oss-120b,85749,5120,1829,830,87578,dma1,cmar7
gpt-oss-120b,41782,2560,2045,577,43827,dma1,ccr4
gpt-oss-120b,42101,2560,1897,443,43998,dma1,ccr5
gpt-oss-120b,84550,44544,1885,1148,86435,dma1,cpar5
gpt-oss-120b,85564,5120,1679,669,87243,dma1,cndtr5
gpt-oss-120b,85715,5120,2088,978,87803,dma1,cndtr6
gpt-oss-120b,85124,5120,1615,789,86739,dma1,cpar6
gpt-oss-120b,42455,2560,421,90,42876,dma1,cpar4
gpt-oss-120b,85353,5120,1263,561,86616,dma1,cmar4
gpt-oss-120b,42434,2560,3516,435,45950,dma1,isr
gpt-oss-120b,42168,2560,2091,633,44259,dma1,ccr2
gpt-oss-120b,85595,5120,1361,648,86956,dma1,cmar5
gpt-oss-120b,85359,5120,1523,666,86882,dma1,cndtr4
gpt-oss-120b,85719,5120,1684,778,87403,dma1,cmar6
gpt-oss-120b,85825,5120,1704,697,87529,dma1,cndtr7
gpt-oss-120b,85485,5120,1848,1106,87333,dma1,cpar7
gpt-oss-120b,85676,5120,1407,620,87083,dma1,cmar3
gpt-oss-120b,42123,2560,3702,552,45825,dma1,ifcr
gpt-oss-120b,85706,5120,1378,728,87084,dma1,cmar2
gpt-oss-120b,42715,2560,2553,583,45268,exti,pr
gpt-oss-120b,42654,2560,2232,309,44886,exti,swier
gpt-oss-120b,42825,2560,2735,422,45560,exti,emr
gpt-oss-120b,43054,2560,2448,314,45502,exti,rtsr
gpt-oss-120b,42490,2560,812,394,43302,exti,ftsr
gpt-oss-120b,42890,2560,2154,380,45044,exti,imr
gpt-oss-120b,42425,2560,1480,488,43905,tim12,sr
gpt-oss-120b,41415,2560,2511,576,43926,tim12,ccmr1_input
gpt-oss-120b,42295,2560,673,261,42968,tim12,psc
gpt-oss-120b,42522,2560,743,406,43265,tim12,arr
gpt-oss-120b,42278,2560,558,278,42836,tim12,cnt
gpt-oss-120b,42172,2560,1933,611,44105,tim12,ccmr1_output
gpt-oss-120b,42683,2560,1025,567,43708,tim12,cr2
gpt-oss-120b,42442,2560,1254,524,43696,tim12,dier
gpt-oss-120b,42920,2560,1487,509,44407,tim12,cr1
gpt-oss-120b,41868,2560,1879,842,43747,tim12,ccer
gpt-oss-120b,42069,2560,642,309,42711,tim12,ccr2
gpt-oss-120b,42376,2560,1304,469,43680,tim12,smcr
gpt-oss-120b,42112,2560,686,325,42798,tim12,ccr1
gpt-oss-120b,42555,2560,1836,1080,44391,tim12,egr
gpt-oss-120b,42308,2560,797,371,43105,dac,sr
gpt-oss-120b,42360,2560,802,402,43162,dac,dhr12r1
gpt-oss-120b,42333,2560,582,152,42915,dac,dhr12rd
gpt-oss-120b,42485,2560,4304,944,46789,dac,cr
gpt-oss-120b,42215,2560,927,450,43142,dac,dhr12ld
gpt-oss-120b,42345,2560,710,369,43055,dac,dhr12r2
gpt-oss-120b,42364,2560,530,272,42894,dac,dor1
gpt-oss-120b,42242,2560,540,207,42782,dac,dor2
gpt-oss-120b,42351,2560,670,312,43021,dac,dhr8r2
gpt-oss-120b,42386,2560,525,225,42911,dac,dhr8rd
gpt-oss-120b,42377,2560,583,238,42960,dac,dhr12l2
gpt-oss-120b,42072,2560,910,582,42982,dac,dhr8r1
gpt-oss-120b,42503,2560,852,373,43355,dac,swtrigr
gpt-oss-120b,42372,2560,535,289,42907,dac,dhr12l1
gpt-oss-120b,42728,2560,317,188,43045,stk,load_
gpt-oss-120b,42817,2560,701,483,43518,stk,ctrl
gpt-oss-120b,42740,0,879,654,43619,stk,calib
gpt-oss-120b,42574,2560,363,207,42937,stk,val
