model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,file_search_tokens,peripheral_name,register_name
gpt-oss-120b,10847,4096,5865,3093,16712,6593,afio,"exticr4, exticr2, exticr3, exticr1, mapr2, mapr, evcr"
gpt-oss-120b,16594,10752,7090,2675,23684,2577,bkp,"rtccr, dr24, dr40, dr31, dr34, dr14, dr23, dr35, dr13, dr10, dr12, dr17, dr2, dr15, dr19"
gpt-oss-120b,20835,13056,5606,1757,26441,4841,bkp,"dr41, dr39, dr30, dr5, dr6, dr9, dr11, dr21, dr7, dr4, dr27, dr33, dr8, dr29, dr16"
gpt-oss-120b,21685,8192,8194,2114,29879,4699,bkp,"dr1, dr38, dr25, dr18, dr20, dr3, dr28, dr26, dr42, dr22, dr37, dr32, csr, cr, dr36"
gpt-oss-120b,9797,4096,3935,1840,13732,5571,cec,"txd, rxd, pres, csr, cfgr, esr, oar"
gpt-oss-120b,6207,4096,1711,818,7918,2002,crc,"cr, dr, idr"
gpt-oss-120b,14611,4096,7098,3677,21709,10297,dac,"dhr12r2, dhr12l1, dor1, dhr12l2, dhr8r2, dhr12r1, dhr8r1, swtrigr, dor2, sr, dhr12ld, dhr12rd, dhr8rd, cr"
gpt-oss-120b,7546,4096,4868,1087,12414,3353,exti,"imr, rtsr"
gpt-oss-120b,6875,4096,3528,1061,10403,2683,exti,"emr, pr"
gpt-oss-120b,6812,4096,2553,604,9365,2619,exti,"ftsr, swier"
gpt-oss-120b,8817,4096,1398,632,10215,4581,flash,"obr, ar, keyr, optkeyr, acr, sr, wrpr, cr"
gpt-oss-120b,15681,8192,6370,1832,22051,2288,fsmc,"bcr4, bwtr4, btr4, btr2, bcr2"
gpt-oss-120b,21591,8192,12087,3921,33678,4260,fsmc,"btr1, btr3, bwtr2, bwtr3, bwtr1, bcr1"
gpt-oss-120b,5935,4096,427,196,6362,1747,fsmc,bcr3
gpt-oss-120b,6780,4096,3141,1533,9921,2571,iwdg,"kr, sr, rlr, pr"
gpt-oss-120b,6538,4096,3171,2138,9709,2333,pwr,"cr, csr"
gpt-oss-120b,7422,4096,2688,1366,10110,3208,rcc,"apb2rstr, ahbenr, bdcr, cfgr2, cir"
gpt-oss-120b,6758,4096,4678,2454,11436,2565,rcc,"apb1enr, apb2enr"
gpt-oss-120b,8072,4096,2885,1927,10957,3858,rcc,"apb1rstr, csr, cr"
gpt-oss-120b,5670,4096,3116,2239,8786,1484,rcc,cfgr
