embeddings,registers_found,total_registers,correct,wrong,missing,total,accuracy,total_time,gen_total,gen_avg,gen_count,vs_total,vs_avg,vs_count
4,5,7,66,0,81,147,44.89795918367347,33.749435901641846,23.615020036697388,3.37357429095677,7,10.134415864944458,1.4477736949920654,7
8,7,7,56,4,87,147,38.095238095238095,34.22479510307312,25.80471134185791,3.68638733455113,7,8.42008376121521,1.20286910874503,7
16,7,7,71,7,69,147,48.29931972789115,35.9255690574646,26.398431539535522,3.771204505647932,7,9.527137517929077,1.3610196454184396,7
50,6,7,83,7,57,147,56.4625850340136,49.56704807281494,39.08392524719238,5.583417892456055,7,10.483122825622559,1.4975889750889368,7
