embeddings,registers_found,total_registers,correct,wrong,missing,total,accuracy,total_time,gen_total,gen_avg,gen_count,vs_total,vs_avg,vs_count
4,6,7,104,1,42,147,70.74829931972789,38.969058990478516,28.51040554046631,4.072915077209473,7,10.458653450012207,1.494093350001744,7
8,5,7,79,5,63,147,53.74149659863946,38.785863161087036,28.869473695755005,4.124210527965,7,9.916389465332031,1.4166270664760046,7
16,7,7,109,2,36,147,74.14965986394559,45.22418451309204,35.490036487579346,5.070005212511335,7,9.734148025512695,1.3905925750732422,7
50,7,7,92,5,50,147,62.585034013605444,122.11294531822205,112.0904610157013,16.012923002243042,7,10.022484302520752,1.4317834717886788,7
