iteration,input_tokens_sum,output_tokens_sum,total_tokens_sum,input_tokens_min,input_tokens_25,input_tokens_median,input_tokens_75,input_tokens_max,input_tokens_avg,output_tokens_min,output_tokens_25,output_tokens_median,output_tokens_75,output_tokens_max,output_tokens_avg,total_tokens_min,total_tokens_25,total_tokens_median,total_tokens_75,total_tokens_max,total_tokens_avg
finder1,2415206,72773,2487979,2505,6589.0,9189.5,12911.75,53681,10593.008771929824,56,108.25,194.0,463.5,1356,319.1798245614035,2858,6753.5,9455.5,13454.25,53772,10912.188596491229
judge,2407714,17879,2425593,2370,6305.25,8978.0,13078.5,53284,10560.149122807017,6,36.0,63.5,114.0,403,78.41666666666667,2376,6331.0,9009.0,13285.5,53290,10638.565789473685
finder2,2071181,57546,2128727,2997,6830.5,10088,14448.0,47490,11317.928961748634,73,132.0,199,413.0,2081,314.4590163934426,3095,7203.5,10337,14769.5,47622,11632.387978142076
