model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,26512,2560,399,195,26911,flash,obr
gpt-oss-120b,26659,2560,536,329,27195,flash,ar
gpt-oss-120b,26506,2560,556,231,27062,flash,acr
gpt-oss-120b,26669,2560,558,393,27227,flash,optkeyr
gpt-oss-120b,26498,2560,441,281,26939,flash,cr
gpt-oss-120b,26756,2560,457,301,27213,flash,keyr
gpt-oss-120b,26779,2560,550,350,27329,flash,sr
gpt-oss-120b,26529,2560,458,279,26987,flash,wrpr
gpt-oss-120b,26676,2560,737,409,27413,rtc,alrl
gpt-oss-120b,26656,2560,562,252,27218,rtc,cntl
gpt-oss-120b,26753,2560,939,327,27692,rtc,crh
gpt-oss-120b,26627,2560,1642,767,28269,rtc,crl
gpt-oss-120b,26702,2560,882,506,27584,rtc,divh
gpt-oss-120b,26644,2560,1480,1100,28124,rtc,divl
gpt-oss-120b,26603,2560,684,373,27287,rtc,cnth
gpt-oss-120b,26539,2560,670,435,27209,rtc,prll
gpt-oss-120b,26828,2560,643,297,27471,rtc,alrh
gpt-oss-120b,26573,2560,648,257,27221,rtc,prlh
gpt-oss-120b,26918,2560,2216,232,29134,exti,imr
gpt-oss-120b,26767,0,2631,692,29398,exti,emr
gpt-oss-120b,26793,2560,696,363,27489,exti,rtsr
gpt-oss-120b,26877,0,2448,462,29325,exti,swier
gpt-oss-120b,26595,2560,2463,331,29058,exti,ftsr
gpt-oss-120b,26873,2560,844,462,27717,exti,pr
gpt-oss-120b,54661,2560,4107,1735,58768,fsmc,bwtr2
gpt-oss-120b,55295,5120,5048,1235,60343,fsmc,bwtr1
gpt-oss-120b,54672,5120,3334,1176,58006,fsmc,btr4
gpt-oss-120b,54442,2560,2972,830,57414,fsmc,bwtr3
gpt-oss-120b,56098,5120,6038,1356,62136,fsmc,bcr3
gpt-oss-120b,55320,2560,4908,1067,60228,fsmc,bcr2
gpt-oss-120b,54339,5120,3722,1867,58061,fsmc,btr3
gpt-oss-120b,26622,2560,2304,1237,28926,fsmc,bwtr4
gpt-oss-120b,55537,5120,5203,1326,60740,fsmc,bcr4
gpt-oss-120b,54877,2560,4405,1326,59282,fsmc,bcr1
gpt-oss-120b,54198,5120,3003,1363,57201,fsmc,btr2
gpt-oss-120b,54650,5120,4169,1589,58819,fsmc,btr1
gpt-oss-120b,26577,2560,1509,259,28086,gpioa,odr
gpt-oss-120b,26645,2560,3995,466,30640,gpioa,crh
gpt-oss-120b,25403,2560,3997,1106,29400,gpioa,crl
gpt-oss-120b,26741,2560,4064,343,30805,gpioa,bsrr
gpt-oss-120b,26609,2560,2065,311,28674,gpioa,brr
gpt-oss-120b,26554,2560,1567,217,28121,gpioa,idr
gpt-oss-120b,26539,2560,2529,443,29068,gpioa,lckr
gpt-oss-120b,26622,2560,1175,508,27797,cec,esr
gpt-oss-120b,26482,2560,1164,375,27646,cec,cfgr
gpt-oss-120b,26738,2560,1782,575,28520,cec,csr
gpt-oss-120b,26738,2560,1023,679,27761,cec,rxd
gpt-oss-120b,26582,0,594,296,27176,cec,txd
gpt-oss-120b,26565,2560,637,349,27202,cec,oar
gpt-oss-120b,26580,0,733,325,27313,cec,pres
gpt-oss-120b,26426,2560,905,360,27331,dbg,idcode
gpt-oss-120b,26684,2560,3154,556,29838,dbg,cr
gpt-oss-120b,26357,2560,1380,515,27737,pwr,csr
gpt-oss-120b,26723,0,2036,608,28759,pwr,cr
gpt-oss-120b,26890,2560,1213,296,28103,afio,exticr1
gpt-oss-120b,26222,2560,1383,572,27605,afio,evcr
gpt-oss-120b,26788,2560,1177,258,27965,afio,exticr3
gpt-oss-120b,26791,2560,1634,321,28425,afio,exticr4
gpt-oss-120b,26614,2560,2765,573,29379,afio,mapr
gpt-oss-120b,26918,2560,1458,357,28376,afio,exticr2
gpt-oss-120b,26869,2560,1017,422,27886,afio,mapr2
gpt-oss-120b,26798,2560,693,527,27491,scb,cfsr_ufsr_bfsr_mmfsr
gpt-oss-120b,26725,2560,342,241,27067,scb,scr
gpt-oss-120b,26775,2560,757,631,27532,scb,shpr1
gpt-oss-120b,26600,2560,326,204,26926,scb,mmfar
gpt-oss-120b,26664,2560,902,748,27566,scb,shpr3
gpt-oss-120b,26677,2560,362,238,27039,scb,hfsr
gpt-oss-120b,26778,2560,382,259,27160,scb,icsr
gpt-oss-120b,26657,2560,389,298,27046,scb,vtor
gpt-oss-120b,26727,2560,362,221,27089,scb,aircr
gpt-oss-120b,26640,2560,614,441,27254,scb,cpuid
gpt-oss-120b,26822,0,704,537,27526,scb,shpr2
gpt-oss-120b,26610,2560,371,194,26981,scb,shcrs
gpt-oss-120b,26697,2560,410,275,27107,scb,bfar
gpt-oss-120b,26559,2560,445,265,27004,scb,ccr
gpt-oss-120b,26704,2560,4299,2691,31003,uart4,cr3
gpt-oss-120b,26666,2560,2230,1166,28896,uart4,cr2
gpt-oss-120b,26625,2560,719,383,27344,uart4,dr
gpt-oss-120b,26609,2560,731,302,27340,uart4,brr
gpt-oss-120b,26816,2560,807,457,27623,uart4,sr
gpt-oss-120b,26420,2560,2092,1054,28512,uart4,cr1
gpt-oss-120b,26921,2560,537,363,27458,stk,ctrl
gpt-oss-120b,26378,2560,660,517,27038,stk,calib
gpt-oss-120b,26711,2560,320,189,27031,stk,val
gpt-oss-120b,26696,2560,406,272,27102,stk,load_
gpt-oss-120b,26591,2560,1471,541,28062,tim12,egr
gpt-oss-120b,26332,2560,2033,851,28365,tim12,ccmr1_output
gpt-oss-120b,26508,2560,436,163,26944,tim12,arr
gpt-oss-120b,26607,2560,1320,1026,27927,tim12,ccmr1_input
gpt-oss-120b,26332,2560,1574,697,27906,tim12,smcr
gpt-oss-120b,26638,2560,1342,567,27980,tim12,dier
gpt-oss-120b,26154,2560,901,451,27055,tim12,cr2
gpt-oss-120b,26425,2560,1662,805,28087,tim12,ccer
gpt-oss-120b,26404,2560,831,457,27235,tim12,ccr1
gpt-oss-120b,26604,2560,420,216,27024,tim12,cnt
gpt-oss-120b,26656,2560,660,284,27316,tim12,psc
gpt-oss-120b,26473,2560,1123,525,27596,tim12,sr
gpt-oss-120b,26657,2560,1499,567,28156,tim12,cr1
gpt-oss-120b,26328,2560,598,343,26926,tim12,ccr2
gpt-oss-120b,26468,2560,699,378,27167,tim2,ccr4
gpt-oss-120b,26412,2560,1426,329,27838,tim2,ccmr1_input
gpt-oss-120b,26703,2560,2154,770,28857,tim2,dier
gpt-oss-120b,26453,2560,998,639,27451,tim2,ccr1
gpt-oss-120b,26812,2560,1895,402,28707,tim2,cr1
gpt-oss-120b,26482,2560,1673,537,28155,tim2,egr
gpt-oss-120b,26065,2560,2597,984,28662,tim2,ccmr1_output
gpt-oss-120b,26264,2560,1020,685,27284,tim2,arr
gpt-oss-120b,26644,2560,1522,748,28166,tim2,cr2
gpt-oss-120b,26463,2560,661,328,27124,tim2,ccr3
gpt-oss-120b,26743,2560,823,510,27566,tim2,cnt
gpt-oss-120b,26319,2560,1013,676,27332,tim2,psc
gpt-oss-120b,26444,2560,1402,344,27846,tim2,dcr
gpt-oss-120b,26481,2560,869,602,27350,tim2,ccr2
gpt-oss-120b,26266,0,1145,442,27411,tim2,ccmr2_input
gpt-oss-120b,26425,0,2430,551,28855,tim2,smcr
gpt-oss-120b,26247,0,2206,1146,28453,tim2,ccer
gpt-oss-120b,26438,2560,1558,479,27996,tim2,dmar
gpt-oss-120b,26536,2560,2878,1012,29414,tim2,ccmr2_output
gpt-oss-120b,26599,2560,2988,1452,29587,tim2,sr
gpt-oss-120b,26576,2560,592,415,27168,nvic,ipr10
gpt-oss-120b,26626,2560,585,422,27211,nvic,ipr0
gpt-oss-120b,26641,2560,286,160,26927,nvic,ipr3
gpt-oss-120b,26708,2560,533,330,27241,nvic,icer1
gpt-oss-120b,26458,2560,241,106,26699,nvic,ispr1
gpt-oss-120b,26577,2560,380,237,26957,nvic,icpr1
gpt-oss-120b,26614,2560,564,447,27178,nvic,ipr8
