model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,file_search_tokens,peripheral_name,register_name
gpt-oss-120b,9958,4096,5039,2385,14997,5721,afio,"exticr4, evcr, mapr2, exticr3, exticr2"
gpt-oss-120b,7379,4096,3580,1790,10959,3185,afio,"mapr, exticr1"
gpt-oss-120b,17153,8192,5995,1529,23148,3095,bkp,"dr32, dr9, dr24, dr7, dr8, dr19, dr41, dr18, dr27, dr34"
gpt-oss-120b,15395,8192,4613,1518,20008,2577,bkp,"dr26, dr31, dr10, dr39, dr21, dr38, dr15, rtccr, dr13, dr30"
gpt-oss-120b,18719,8192,3575,1123,22294,4322,bkp,"dr29, dr36, dr14, dr6, dr40, dr22, dr35, dr1, dr20, dr23"
gpt-oss-120b,19313,8192,8137,2689,27450,3827,bkp,"dr11, dr25, dr4, dr33, dr37, csr, cr, dr5, dr12, dr2"
gpt-oss-120b,16380,4096,2461,821,18841,3450,bkp,"dr17, dr28, dr3, dr42, dr16"
gpt-oss-120b,9797,4096,3531,1529,13328,5571,cec,"oar, cfgr, pres, esr, txd, csr, rxd"
gpt-oss-120b,6207,4096,1857,1044,8064,2002,crc,"dr, cr, idr"
gpt-oss-120b,12920,4096,6459,2993,19379,8645,dac,"dhr8rd, dhr12l2, swtrigr, dor1, dhr12rd, cr, dhr12r2, sr, dhr8r2, dhr12r1"
gpt-oss-120b,9239,4096,1606,955,10845,5011,dac,"dhr8r1, dor2, dhr12l1, dhr12ld"
gpt-oss-120b,5932,5888,1812,630,7744,1748,exti,ftsr
gpt-oss-120b,5930,4096,2009,809,7939,1746,exti,pr
gpt-oss-120b,5793,4096,2320,869,8113,1609,exti,imr
gpt-oss-120b,5125,4096,2067,607,7192,942,exti,emr
gpt-oss-120b,5933,4096,1924,766,7857,1749,exti,rtsr
gpt-oss-120b,5932,4096,2057,711,7989,1747,exti,swier
gpt-oss-120b,8817,4096,1390,556,10207,4581,flash,"optkeyr, ar, obr, sr, cr, wrpr, keyr, acr"
gpt-oss-120b,13368,8192,4979,2449,18347,1747,fsmc,"btr3, bcr4, bwtr2"
gpt-oss-120b,15886,8192,7941,3636,23827,2619,fsmc,"btr4, bcr3, btr1"
gpt-oss-120b,17350,8192,5721,944,23071,3072,fsmc,"bcr1, bcr2"
gpt-oss-120b,16232,8192,7400,2997,23632,2604,fsmc,"btr2, bwtr4, bwtr3, bwtr1"
gpt-oss-120b,6780,4096,3339,1767,10119,2571,iwdg,"kr, rlr, pr, sr"
gpt-oss-120b,6538,4096,2854,1735,9392,2333,pwr,"cr, csr"
gpt-oss-120b,6755,4096,3595,2175,10350,2566,rcc,"cfgr2, apb2enr"
gpt-oss-120b,5494,4096,3506,2038,9000,1306,rcc,apb1enr
gpt-oss-120b,8637,4096,6437,3552,15074,4423,rcc,"cfgr, bdcr, cr"
gpt-oss-120b,6250,4096,476,236,6726,2059,rcc,"ahbenr, apb2rstr"
gpt-oss-120b,5548,4096,257,106,5805,1364,rcc,cir
gpt-oss-120b,5562,4096,405,215,5967,1376,rcc,apb1rstr
gpt-oss-120b,5811,4096,373,201,6184,1625,rcc,csr
