peripheral,register,field_name,key,just_svd,just_output,both
tim2,egr,cc2g,enum_names,0,2,0
tim2,egr,tg,enum_names,0,2,0
tim2,egr,ug,enum_names,0,2,0
tim2,egr,cc1g,enum_names,0,2,0
tim2,egr,cc4g,enum_names,0,2,0
tim2,dcr,dba,enum_names,0,3,0
tim2,dcr,dbl,enum_names,0,4,0
tim1,sr,cc1of,enum_names,0,2,0
tim1,sr,cc2if,enum_names,0,2,0
tim1,sr,cc3of,enum_names,0,2,0
tim1,sr,uif,enum_names,0,2,0
tim1,sr,cc4if,enum_names,0,2,0
tim1,sr,cc1if,enum_names,0,2,0
tim1,sr,cc2of,enum_names,0,2,0
tim1,sr,tif,enum_names,0,2,0
tim1,sr,cc4of,enum_names,0,2,0
tim1,sr,cc3if,enum_names,0,2,0
tim1,bdtr,moe,enum_names,0,2,0
tim1,bdtr,lock,enum_names,0,4,0
tim1,bdtr,aoe,enum_names,0,2,0
tim1,bdtr,bke,enum_names,0,2,0
tim1,bdtr,ossr,enum_names,0,2,0
tim1,bdtr,bkp,enum_names,0,2,0
tim1,bdtr,ossi,enum_names,0,2,0
tim1,cr1,cen,enum_names,0,2,0
tim1,cr1,cms,enum_names,0,4,0
tim1,cr1,urs,enum_names,0,2,0
tim1,cr1,arpe,enum_names,0,2,0
tim1,cr1,dir,enum_names,0,2,0
tim1,cr1,ckd,enum_names,0,3,0
tim1,cr1,udis,enum_names,0,2,0
tim1,cr1,opm,enum_names,0,2,0
tim1,ccer,cc1ne,enum_names,0,2,0
tim1,ccer,cc2e,enum_names,0,2,0
tim1,ccer,cc1p,enum_names,0,2,0
tim1,ccer,cc1e,enum_names,0,2,0
tim1,ccer,cc1np,enum_names,0,2,0
tim1,dier,tde,enum_names,0,2,0
tim1,dier,cc1ie,enum_names,0,2,0
tim1,dier,cc2ie,enum_names,0,2,0
tim1,dier,cc4de,enum_names,0,2,0
tim1,dier,tie,enum_names,0,2,0
tim1,dier,cc1de,enum_names,0,2,0
tim1,dier,cc3ie,enum_names,0,2,0
tim1,dier,uie,enum_names,0,2,0
tim1,dier,ude,enum_names,0,2,0
tim1,dier,cc4ie,enum_names,0,2,0
tim1,dier,cc2de,enum_names,0,2,0
tim1,dier,cc3de,enum_names,0,2,0
tim1,smcr,etps,enum_names,0,1,0
tim1,smcr,sms,enum_names,0,3,0
tim1,smcr,ece,enum_names,0,1,0
tim1,egr,cc3g,enum_names,0,2,0
tim1,egr,cc2g,enum_names,0,2,0
tim1,egr,tg,enum_names,0,2,0
tim1,egr,ug,enum_names,0,2,0
tim1,egr,cc1g,enum_names,0,2,0
tim1,egr,cc4g,enum_names,0,2,0
tim1,dcr,dba,enum_names,0,3,0
tim1,dcr,dbl,enum_names,0,4,0
cec,csr,tbtrf,enum_names,0,2,0
cec,csr,terr,enum_names,0,2,0
cec,csr,tsom,enum_names,0,2,0
cec,csr,teom,enum_names,0,2,0
cec,cfgr,btem,enum_names,0,2,0
cec,cfgr,bpem,enum_names,0,2,0
cec,cfgr,ie,enum_names,0,2,0
cec,cfgr,pe,enum_names,0,2,0
tim12,sr,cc1of,enum_names,0,2,0
tim12,sr,cc2if,enum_names,0,2,0
tim12,sr,uif,enum_names,0,2,0
tim12,sr,cc2of,enum_names,0,2,0
tim12,sr,cc1if,enum_names,0,2,0
tim12,sr,tif,enum_names,0,2,0
tim12,cr1,cen,enum_names,0,2,0
tim12,cr1,urs,enum_names,0,2,0
tim12,cr1,arpe,enum_names,0,2,0
tim12,cr1,udis,enum_names,0,2,0
tim12,cr1,opm,enum_names,0,2,0
tim12,ccer,cc1e,enum_names,0,2,0
tim12,ccer,cc2p,enum_names,0,2,0
tim12,ccer,cc1p,enum_names,0,2,0
tim12,ccer,cc2e,enum_names,0,2,0
tim12,cr2,mms,enum_names,0,8,0
tim12,dier,cc2ie,enum_names,0,2,0
tim12,dier,cc1ie,enum_names,0,2,0
tim12,dier,tie,enum_names,0,2,0
tim12,dier,uie,enum_names,0,2,0
tim12,egr,cc2g,enum_names,0,2,0
tim12,egr,tg,enum_names,0,2,0
tim12,egr,cc1g,enum_names,0,2,0
tim12,egr,ug,enum_names,0,2,0
tim12,smcr,ts,enum_names,0,2,0
tim12,smcr,sms,enum_names,0,2,0
tim12,smcr,msm,enum_names,0,2,0
fsmc,bwtr1,datast,enum_names,0,4,0
fsmc,bwtr1,addset,enum_names,0,2,0
fsmc,bwtr1,addhld,enum_names,0,4,0
fsmc,btr2,accmod,bit_offset,28,27
fsmc,btr2,datast,bit_width,8,7
fsmc,btr2,busturn,bit_offset,16,15
fsmc,btr2,datlat,bit_offset,24,23
fsmc,btr2,clkdiv,bit_offset,20,19
fsmc,bcr4,cburstrw,enum_names,0,2,0
fsmc,bcr4,extmod,enum_names,0,2,0
fsmc,bcr4,waitcfg,enum_names,0,2,0
fsmc,bcr4,mwid,enum_names,0,3,0
fsmc,bcr4,asyncwait,enum_names,0,2,0
fsmc,bcr4,waitpol,enum_names,0,2,0
fsmc,bcr4,wrapmod,enum_names,0,2,0
fsmc,bcr4,faccen,enum_names,0,2,0
fsmc,bcr4,wren,enum_names,0,2,0
fsmc,bcr4,mbken,enum_names,0,2,0
fsmc,bcr4,bursten,enum_names,0,2,0
fsmc,bcr4,mtyp,enum_names,0,3,0
fsmc,bcr4,muxen,enum_names,0,2,0
fsmc,bcr4,waiten,enum_names,0,2,0
fsmc,bcr3,cburstrw,enum_names,0,2,0
fsmc,bcr3,extmod,enum_names,0,2,0
fsmc,bcr3,waitcfg,enum_names,0,2,0
fsmc,bcr3,mwid,enum_names,0,2,0
fsmc,bcr3,asyncwait,enum_names,0,2,0
fsmc,bcr3,waitpol,enum_names,0,2,0
fsmc,bcr3,wrapmod,enum_names,0,2,0
fsmc,bcr3,faccen,enum_names,0,2,0
fsmc,bcr3,wren,enum_names,0,2,0
fsmc,bcr3,mbken,enum_names,0,2,0
fsmc,bcr3,bursten,enum_names,0,2,0
fsmc,bcr3,mtyp,enum_names,0,3,0
fsmc,bcr3,muxen,enum_names,0,2,0
fsmc,bcr3,waiten,enum_names,0,2,0
fsmc,bwtr4,accmod,enum_names,0,4,0
fsmc,btr4,accmod,enum_names,0,4,0
fsmc,btr3,accmod,bit_offset,28,27
fsmc,btr3,accmod,enum_names,0,4,0
fsmc,btr3,datast,bit_width,8,7
fsmc,btr3,busturn,bit_offset,16,15
fsmc,btr3,datlat,bit_offset,24,23
fsmc,btr3,clkdiv,bit_offset,20,19
fsmc,bwtr3,accmod,enum_names,0,4,0
fsmc,bwtr3,datast,enum_names,0,2,0
fsmc,bwtr2,accmod,enum_names,0,4,0
dac,sr,dmaudr1,enum_names,0,2,0
dac,sr,dmaudr2,enum_names,0,2,0
dac,dhr12ld,dacc1dhr,bit_offset,4,0
dac,dhr12ld,dacc2dhr,bit_offset,20,16
rtc,crh,owie,enum_names,0,2,0
rtc,crh,secie,enum_names,0,2,0
rtc,crh,alrie,enum_names,0,2,0
rtc,alrl,alrl,bit_width,16,32
rtc,crl,rsf,enum_names,0,2,0
rtc,crl,alrf,enum_names,0,2,0
rtc,crl,owf,enum_names,0,2,0
rtc,crl,cnf,enum_names,0,2,0
rtc,crl,rtoff,enum_names,0,2,0
rtc,crl,secf,enum_names,0,2,0
bkp,dr14,d14,enum_names,0,1,0
bkp,cr,tpal,enum_names,0,2,0
bkp,cr,tpe,enum_names,0,2,0
bkp,csr,tpie,bit_offset,2,0
bkp,csr,tpie,enum_names,0,2,0
bkp,rtccr,cal,bit_offset,0,8
bkp,rtccr,cco,enum_names,0,2,0
tim16,sr,uif,enum_names,0,2,0
tim16,sr,cc1of,enum_names,0,2,0
tim16,sr,cc1if,enum_names,0,2,0
tim16,sr,tif,enum_names,0,2,0
tim16,bdtr,moe,enum_names,0,2,0
tim16,bdtr,lock,enum_names,0,4,0
tim16,bdtr,aoe,enum_names,0,2,0
