peripheral,just_svd,both
iwdg,0,4
tim6,0,8
tim15,2,16
flash,0,8
wwdg,0,3
pwr,0,2
tim2,4,16
tim1,4,18
cec,1,6
tim12,2,12
fsmc,0,12
dac,0,14
rtc,0,10
bkp,0,45
tim16,2,14
crc,0,3
rcc,0,11
exti,0,6
afio,0,7
tim13,2,9
