peripheral,register,field_name,key,just_svd,just_output,both,SourceFile
rcc,apb1enr,pwren,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,lserdyf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,sr,cc2if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,egr,ug,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim12rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,sr,cc3of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,usart1en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr2,datlat,bit_offset,24,23,evaluation/results/rm0041/11/original/field_diff.csv
tim16,dier,tde,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,sr,cc2of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,bwtr1,addhld,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,ccer,cc2np,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,ccer,cc2p,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,egr,cc1g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim5rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,egr,cc3g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,tde,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
pwr,cr,pvde,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,smcr,sms,enum_names,0,8,0,evaluation/results/rm0041/11/original/field_diff.csv
flash,cr,pg,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,hsirdyie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,bdcr,lserdy,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,tim15en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,tim13en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim13,dier,uie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,pllrdyie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,egr,tg,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,ccer,cc1p,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,tim2en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,evcr,evoe,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,hserdyc,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,dier,cc3de,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,ccer,cc1p,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,tim17rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,ahbenr,dma1en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,dacen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,egr,cc1g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr3,datast,bit_width,8,7,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr3,clkdiv,bit_offset,20,19,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,usart1rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,bdtr,aoe,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,bdcr,lseon,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,lserdyc,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,ccer,cc2e,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,bwtr3,accmod,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,exticr2,exti5,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,ioperst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,hserdyf,bit_offset,3,5,evaluation/results/rm0041/11/original/field_diff.csv
tim16,sr,tif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,smcr,ts,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,dier,cc2ie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,cc1de,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,tim5en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,spi2en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,hsirdyf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,spi1rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,tie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,comie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
bkp,dr14,d14,enum_names,0,1,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,smcr,msm,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,exticr1,exti1,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,tim4en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,sr,uif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,ioparst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,i2c1rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
flash,cr,opter,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,iopden,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim13,dier,cc1ie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr2,datast,bit_width,8,7,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,i2c2en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,bdtr,moe,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr4,accmod,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,egr,cc2g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,iopcen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,cr1,cms,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,bwtr1,addset,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,sr,tif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
dac,dhr12ld,dacc1dhr,bit_offset,4,0,evaluation/results/rm0041/11/original/field_diff.csv
bkp,rtccr,cco,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
flash,cr,errie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
pwr,cr,lpds,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,ccer,cc2e,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
cec,cfgr,pe,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
flash,cr,lock,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,tim7en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
dac,sr,dmaudr1,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr3,busturn,bit_offset,16,15,evaluation/results/rm0041/11/original/field_diff.csv
tim15,sr,tif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,spi3rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,smcr,msm,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,lsirdyc,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,smcr,sms,enum_names,0,3,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,cc1ie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim13,sr,cc1if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
iwdg,kr,key,enum_names,0,1,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,egr,cc2g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,sr,cc2if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
cec,cfgr,btem,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,ccer,cc1e,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,tim16en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,ccer,cc1np,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
