model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,42710,2560,1897,493,44607,cec,csr
gpt-oss-120b,42793,2560,425,133,43218,cec,rxd
gpt-oss-120b,42698,0,570,199,43268,cec,oar
gpt-oss-120b,42317,0,1752,788,44069,cec,esr
gpt-oss-120b,41760,0,454,131,42214,cec,txd
gpt-oss-120b,42138,2560,1206,420,43344,cec,cfgr
gpt-oss-120b,42441,0,555,230,42996,cec,pres
gpt-oss-120b,42552,0,825,248,43377,dbg,idcode
gpt-oss-120b,42213,0,3140,923,45353,dbg,cr
gpt-oss-120b,42548,2560,560,312,43108,usart1,dr
gpt-oss-120b,42814,2560,2019,959,44833,usart1,cr2
gpt-oss-120b,42008,2560,869,503,42877,usart1,brr
gpt-oss-120b,42658,2560,804,362,43462,usart1,gtpr
gpt-oss-120b,42579,2560,2084,773,44663,usart1,sr
gpt-oss-120b,42727,2560,2709,641,45436,usart1,cr1
gpt-oss-120b,42428,2560,2319,1283,44747,usart1,cr3
gpt-oss-120b,42127,2560,1730,611,43857,tim16,bdtr
gpt-oss-120b,42293,2560,651,350,42944,tim16,psc
gpt-oss-120b,42264,0,1237,631,43501,tim16,cr2
gpt-oss-120b,42698,2560,480,164,43178,tim16,cnt
gpt-oss-120b,42684,2560,1758,1023,44442,tim16,ccer
gpt-oss-120b,42435,2560,598,221,43033,tim16,rcr
gpt-oss-120b,41830,2560,1458,824,43288,tim16,ccmr1_output
gpt-oss-120b,42255,2560,2389,1191,44644,tim16,sr
gpt-oss-120b,42254,2560,1605,363,43859,tim16,dmar
gpt-oss-120b,42420,2560,1770,684,44190,tim16,cr1
gpt-oss-120b,42326,0,1597,992,43923,tim16,egr
gpt-oss-120b,41728,2560,2324,1071,44052,tim16,ccmr1_input
gpt-oss-120b,42311,2560,885,678,43196,tim16,dcr
gpt-oss-120b,42118,2560,737,392,42855,tim16,arr
gpt-oss-120b,42365,2560,1491,420,43856,tim16,dier
gpt-oss-120b,42035,2560,749,449,42784,tim16,ccr1
gpt-oss-120b,42164,2560,448,190,42612,tim12,psc
gpt-oss-120b,42683,2560,1230,593,43913,tim12,cr2
gpt-oss-120b,42862,2560,618,337,43480,tim12,cnt
gpt-oss-120b,42029,2560,1429,469,43458,tim12,ccer
gpt-oss-120b,42211,2560,2628,1221,44839,tim12,ccmr1_output
gpt-oss-120b,42595,2560,1179,600,43774,tim12,sr
gpt-oss-120b,42386,2560,1844,852,44230,tim12,smcr
gpt-oss-120b,42899,2560,1592,669,44491,tim12,cr1
gpt-oss-120b,42553,2560,1313,497,43866,tim12,egr
gpt-oss-120b,42557,2560,3318,974,45875,tim12,ccmr1_input
