model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,21356,21248,2258,285,23614,exti,imr
gpt-oss-120b,14247,0,603,293,14850,exti,ftsr
gpt-oss-120b,22274,0,2382,300,24656,exti,pr
gpt-oss-120b,21356,2560,2115,285,23471,exti,emr
gpt-oss-120b,17878,2560,827,427,18705,exti,swier
gpt-oss-120b,14247,2560,2264,378,16511,exti,rtsr
gpt-oss-120b,11222,2560,732,362,11954,flash,acr
gpt-oss-120b,11223,2560,466,264,11689,flash,wrpr
gpt-oss-120b,11222,2560,466,244,11688,flash,sr
gpt-oss-120b,11222,2560,476,249,11698,flash,ar
gpt-oss-120b,11222,2560,394,164,11616,flash,obr
gpt-oss-120b,11224,0,447,245,11671,flash,optkeyr
gpt-oss-120b,11223,2560,391,212,11614,flash,keyr
gpt-oss-120b,11222,2560,505,302,11727,flash,cr
gpt-oss-120b,5423,2560,259,137,5682,tim15,ccr2
gpt-oss-120b,11249,2560,1478,534,12727,tim15,egr
gpt-oss-120b,13134,2560,519,215,13653,tim15,cnt
gpt-oss-120b,13661,2560,531,169,14192,tim15,ccr1
gpt-oss-120b,6051,2560,1338,535,7389,tim15,dmar
gpt-oss-120b,9941,0,1416,351,11357,tim15,cr1
gpt-oss-120b,6915,2560,389,253,7304,tim15,bdtr
gpt-oss-120b,13135,2560,529,240,13664,tim15,psc
gpt-oss-120b,10404,2560,1690,490,12094,tim15,dier
gpt-oss-120b,10542,2560,1837,824,12379,tim15,sr
gpt-oss-120b,13134,2560,537,283,13671,tim15,arr
gpt-oss-120b,10197,0,2133,693,12330,tim15,cr2
gpt-oss-120b,13660,2560,596,283,14256,tim15,rcr
gpt-oss-120b,12627,2560,1034,598,13661,tim15,ccer
gpt-oss-120b,5422,2560,548,370,5970,tim15,dcr
gpt-oss-120b,20959,2560,1398,606,22357,tim15,smcr
gpt-oss-120b,27439,2560,702,275,28141,tim12,ccr2
