model_name,input_tokens,input_tokens_cached,output_tokens,output_tokens_reasoning,total_tokens,cost
gpt-5.2,4733982,1227008,130335,0,4864317,8.18
gpt-oss-120b,4797099,1476096,361949,210287,5159048,0.83
gpt-5-nano-low-reasoning,4733949,1329152,317750,196352,5051699,0.31
gpt-4.1-nano,4734761,1280,327815,0,5062576,0.60
gpt-5-nano,4734330,1239424,1288585,1166016,6022915,0.70
