model_name, true_positives, false_negatives, false_positives, true_negatives, accuracy, precision, recall, f1_score
gpt-5-nano, 667, 33, 4, 296, 0.963, 0.9940387481371088, 0.9528571428571428, 0.973012399708242
gpt-5.2, 650, 50, 1, 299, 0.949, 0.9984639016897081, 0.9285714285714286, 0.9622501850481125
