embeddings,registers_found,total_registers,correct,wrong,missing,total,accuracy
4,6,7,87,0,60,147,59.183673469387756
8,6,7,88,2,57,147,59.863945578231295
16,7,7,93,3,51,147,63.26530612244898
50,7,7,94,2,51,147,63.94557823129252
