iteration,num_prompts,input_tokens_sum,input_cached_tokens_sum,output_tokens_sum,output_reasoning_tokens_sum,total_tokens_sum,input_tokens_min,input_tokens_25,input_tokens_median,input_tokens_75,input_tokens_max,input_tokens_avg,output_tokens_min,output_tokens_25,output_tokens_median,output_tokens_75,output_tokens_max,output_tokens_avg,total_tokens_min,total_tokens_25,total_tokens_median,total_tokens_75,total_tokens_max,total_tokens_avg
finder1,439,7990875,0,139883,0,8130758,1632,8208.0,12940,20500.0,76044,18202.44874715262,39,102.0,181,412.5,2569,318.6400911161731,1941,8418.5,13465,20596.0,76165,18521.08883826879
judge,439,7960893,17024,38226,0,7999119,1479,7942.0,13032,20108.0,75677,18134.15261958998,6,47.0,78,114.0,543,87.0751708428246,1578,8015.0,13076,20271.5,75816,18221.2277904328
finder2,386,7120572,0,125058,0,7245630,2137,8543.75,13565.0,20827.25,76378,18447.077720207253,57,117.5,184.5,409.0,1608,323.98445595854923,2194,8719.5,13887.0,20945.5,76506,18771.062176165804
