model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,file_search_tokens,peripheral_name,register_name
gpt-oss-120b,10847,4096,7552,3325,18399,6593,afio,"exticr4, exticr2, exticr3, exticr1, mapr2, mapr, evcr"
gpt-oss-120b,16642,10752,6413,1930,23055,2577,bkp,"rtccr, dr24, dr40, dr31, dr34, dr14, dr23, dr35, dr13, dr10, dr12, dr17, dr2, dr15, dr19"
gpt-oss-120b,21964,13056,7627,1653,29591,4841,bkp,"dr41, dr39, dr30, dr5, dr6, dr9, dr11, dr21, dr7, dr4, dr27, dr33, dr8, dr29, dr16"
gpt-oss-120b,21666,8192,8738,2166,30404,4699,bkp,"dr1, dr38, dr25, dr18, dr20, dr3, dr28, dr26, dr42, dr22, dr37, dr32, csr, cr, dr36"
gpt-oss-120b,9797,9728,4635,2203,14432,5571,cec,"txd, rxd, pres, csr, cfgr, esr, oar"
gpt-oss-120b,6207,4096,1964,749,8171,2002,crc,"cr, dr, idr"
gpt-oss-120b,14611,4096,6350,1900,20961,10297,dac,"dhr12r2, dhr12l1, dor1, dhr12l2, dhr8r2, dhr12r1, dhr8r1, swtrigr, dor2, sr, dhr12ld, dhr12rd, dhr8rd, cr"
gpt-oss-120b,8636,4096,5420,1292,14056,4428,exti,"imr, rtsr, emr, pr"
gpt-oss-120b,6812,4096,3686,1524,10498,2619,exti,"ftsr, swier"
gpt-oss-120b,8817,4096,1779,921,10596,4581,flash,"obr, ar, keyr, optkeyr, acr, sr, wrpr, cr"
gpt-oss-120b,19709,8192,10352,1924,30061,3160,fsmc,"bcr4, bwtr4, btr4, btr2, bcr2, btr1, btr3, bwtr2, bwtr3"
gpt-oss-120b,19935,4096,10623,4962,30558,4260,fsmc,"bwtr1, bcr1, bcr3"
gpt-oss-120b,6780,4096,3515,1827,10295,2571,iwdg,"kr, sr, rlr, pr"
gpt-oss-120b,6538,4096,3137,1799,9675,2333,pwr,"cr, csr"
gpt-oss-120b,8736,4096,4890,1770,13626,4509,rcc,"apb2rstr, ahbenr, bdcr, cfgr2, cir, apb1enr"
gpt-oss-120b,10216,4096,5014,2260,15230,5986,rcc,"apb2enr, apb1rstr, csr, cr, cfgr"
