model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name,field_name,key
gpt-oss-120b,5038,0,189,81,5227,adc1,cr1,,address_offset
gpt-oss-120b,5194,0,562,363,5756,adc1,cr1,,reset_value
gpt-oss-120b,5126,0,503,312,5629,adc1,cr1,,size
gpt-oss-120b,5120,0,227,98,5347,adc1,cr1,AWDEN,bit_offset
gpt-oss-120b,5120,0,276,134,5396,adc1,cr1,AWDEN,bit_width
gpt-oss-120b,5154,0,433,301,5587,adc1,cr1,AWDEN,access
gpt-oss-120b,5124,1792,282,161,5406,adc1,cr1,JAWDEN,bit_offset
gpt-oss-120b,5117,0,255,126,5372,adc1,cr1,JAWDEN,bit_width
gpt-oss-120b,5137,0,355,233,5492,adc1,cr1,JAWDEN,access
gpt-oss-120b,5127,1792,318,166,5445,adc1,cr1,DISCNUM[2:0],bit_offset
gpt-oss-120b,5078,1792,320,161,5398,adc1,cr1,DISCNUM[2:0],bit_width
gpt-oss-120b,5127,1792,287,145,5414,adc1,cr1,DISCNUM[2:0],access
gpt-oss-120b,5120,0,368,205,5488,adc1,cr1,JDISCEN,bit_offset
gpt-oss-120b,5124,1792,315,167,5439,adc1,cr1,JDISCEN,bit_width
gpt-oss-120b,5129,1792,392,247,5521,adc1,cr1,JDISCEN,access
gpt-oss-120b,5180,1792,239,126,5419,adc1,cr1,DISCEN,bit_offset
gpt-oss-120b,5137,0,318,162,5455,adc1,cr1,DISCEN,bit_width
gpt-oss-120b,5128,1792,331,222,5459,adc1,cr1,DISCEN,access
gpt-oss-120b,5128,1792,291,178,5419,adc1,cr1,JAUTO,bit_offset
gpt-oss-120b,5123,0,271,140,5394,adc1,cr1,JAUTO,bit_width
gpt-oss-120b,5090,1792,350,230,5440,adc1,cr1,JAUTO,access
gpt-oss-120b,5107,1792,218,90,5325,adc1,cr2,,address_offset
gpt-oss-120b,5206,1792,711,534,5917,adc1,cr2,,reset_value
gpt-oss-120b,5126,1792,237,136,5363,adc1,cr2,,size
gpt-oss-120b,5115,1792,278,157,5393,adc1,cr2,AWDSGL,bit_offset
gpt-oss-120b,5053,1792,287,126,5340,adc1,cr2,AWDSGL,bit_width
gpt-oss-120b,5010,1792,505,344,5515,adc1,cr2,AWDSGL,access
gpt-oss-120b,5107,1792,272,136,5379,adc1,cr2,SCAN,bit_offset
gpt-oss-120b,5051,0,280,143,5331,adc1,cr2,SCAN,bit_width
gpt-oss-120b,5044,1792,351,236,5395,adc1,cr2,SCAN,access
gpt-oss-120b,5055,1792,293,154,5348,adc1,cr2,JEOCIE,bit_offset
gpt-oss-120b,5055,1792,322,181,5377,adc1,cr2,JEOCIE,bit_width
gpt-oss-120b,5138,1792,460,334,5598,adc1,cr2,JEOCIE,access
gpt-oss-120b,5085,1792,254,104,5339,adc1,cr2,AWDIE,bit_offset
gpt-oss-120b,5085,1792,247,117,5332,adc1,cr2,AWDIE,bit_width
gpt-oss-120b,5046,1792,387,242,5433,adc1,cr2,AWDIE,access
gpt-oss-120b,5026,1792,251,123,5277,adc1,cr2,EOCIE,bit_offset
gpt-oss-120b,5055,0,241,121,5296,adc1,cr2,EOCIE,bit_width
gpt-oss-120b,5050,1792,418,275,5468,adc1,cr2,EOCIE,access
gpt-oss-120b,5117,1792,310,156,5427,adc1,cr2,AWDCH,bit_offset
gpt-oss-120b,5053,0,305,164,5358,adc1,cr2,AWDCH,bit_width
gpt-oss-120b,5050,1792,290,177,5340,adc1,cr2,AWDCH,access
gpt-oss-120b,5142,1792,279,164,5421,adc1,cr2,TSVREFE,bit_offset
gpt-oss-120b,5114,1792,297,154,5411,adc1,cr2,TSVREFE,bit_width
