embeddings,registers_found,total_registers,correct,wrong,missing,total,accuracy
4,6,7,105,0,42,147,71.42857142857143
8,7,7,87,3,57,147,59.183673469387756
16,7,7,93,3,51,147,63.26530612244898
50,7,7,89,1,57,147,60.544217687074834
